job_gpu,total_free,queue_length,running_jobs,max_free_node,variance_free,can_fit_now,gpu_fit_ratio,fragmentation,queue_pressure,node_availability,avg_free_per_node,wait_time,arrival_time,run_id
8,4,5,9,2,0.5,0,0.4999999375000079,0.7071067811865476,6.8,0.0,0.5,19,40,0
1,1,6,5,1,0.109375,1,0.9999990000010001,0.33071891388307384,20.5,0.125,0.125,0,61,0
1,2,12,6,1,0.1875,1,1.0,0.4330127018922193,25.333333333333332,0.25,0.25,0,70,0
8,4,6,9,2,0.5,0,0.4999999375000079,0.7071067811865476,8.4,0.0,0.5,18,41,0
4,0,6,6,0,0.0,0,0.0,0.0,41.0,0.0,0.0,7,62,0
3,1,5,5,1,0.109375,0,0.33333322222225925,0.33071891388307384,19.0,0.0,0.125,3,60,0
3,0,7,6,0,0.0,0,0.0,0.0,46.0,0.0,0.0,8,67,0
8,4,6,5,2,0.5,0,0.4999999375000079,0.7071067811865476,9.0,0.0,0.5,28,48,0
4,4,8,5,2,0.5,1,0.9999997500000625,0.7071067811865476,10.2,0.0,0.5,15,63,0
6,0,7,6,0,0.0,0,0.0,0.0,45.0,0.0,0.0,10,62,0
8,4,7,9,2,0.5,0,0.4999999375000079,0.7071067811865476,10.0,0.0,0.5,32,41,0
5,6,12,5,2,0.4375,1,1.0,0.6614378277661477,10.714285714285714,0.0,0.75,16,69,0
7,0,8,6,0,0.0,0,0.0,0.0,49.0,0.0,0.0,19,67,0
4,6,11,5,2,0.4375,1,1.0,0.6614378277661477,10.142857142857142,0.0,0.75,14,69,0
8,9,6,4,3,1.609375,1,1.0,1.2686114456365274,4.6,0.0,1.125,31,54,0
8,1,8,5,1,0.109375,0,0.12499998437500197,0.33071891388307384,28.0,0.0,0.125,35,56,0
4,8,9,5,2,0.75,1,1.0,0.8660254037844386,6.555555555555555,0.0,1.0,20,76,0
7,0,10,6,0,0.0,0,0.0,0.0,64.0,0.0,0.0,30,67,0
1,7,9,4,3,1.109375,1,1.0,1.0532687216470449,7.5,0.5,0.875,10,86,0
3,14,10,3,4,2.6875,1,1.0,1.6393596310755,4.666666666666667,0.375,1.75,13,85,0
1,0,16,5,0,0.0,0,0.0,0.0,83.0,0.0,0.0,5,93,0
8,0,9,6,0,0.0,0,0.0,0.0,56.0,0.0,0.0,35,67,0
4,0,10,5,0,0.0,0,0.0,0.0,59.0,0.0,0.0,18,87,0
8,8,10,5,2,0.75,1,0.9999998750000157,0.8660254037844386,7.0,0.0,1.0,28,76,0
7,0,9,6,0,0.0,0,0.0,0.0,59.0,0.0,0.0,26,80,0
8,3,10,5,1,0.234375,0,0.3749999531250059,0.4841229182759271,16.5,0.0,0.375,34,82,0
1,8,19,6,4,2.0,1,1.0,1.4142135623730951,10.555555555555555,0.375,1.0,12,102,0
1,7,19,5,3,1.109375,1,1.0,1.0532687216470449,11.5,0.5,0.875,11,97,0
3,0,15,5,0,0.0,0,0.0,0.0,80.0,0.0,0.0,18,93,0
5,0,9,5,0,0.0,0,0.0,0.0,54.0,0.0,0.0,32,87,0
4,0,11,5,0,0.0,0,0.0,0.0,63.0,0.0,0.0,28,90,0
1,15,18,5,4,2.359375,1,1.0,1.5360257159305635,5.0,0.75,1.875,5,119,0
6,8,13,4,3,1.25,1,1.0,1.118033988749895,8.222222222222221,0.0,1.0,30,91,0
4,0,13,5,0,0.0,0,0.0,0.0,72.0,0.0,0.0,35,92,0
2,5,19,4,3,0.984375,1,1.0,0.9921567416492215,15.0,0.125,0.625,25,96,0
3,0,18,5,0,0.0,0,0.0,0.0,87.0,0.0,0.0,36,95,0
7,0,12,5,0,0.0,0,0.0,0.0,67.0,0.0,0.0,29,90,0
3,0,17,5,0,0.0,0,0.0,0.0,84.0,0.0,0.0,25,94,0
4,0,14,5,0,0.0,0,0.0,0.0,76.0,0.0,0.0,36,92,0
2,0,18,7,0,0.0,0,0.0,0.0,84.0,0.0,0.0,22,113,0
2,0,19,7,0,0.0,0,0.0,0.0,88.0,0.0,0.0,28,103,0
3,1,18,6,1,0.109375,0,0.33333322222225925,0.33071891388307384,38.5,0.0,0.125,28,108,0
6,0,17,7,0,0.0,0,0.0,0.0,71.0,0.0,0.0,30,107,0
2,1,15,8,1,0.109375,0,0.499999750000125,0.33071891388307384,32.5,0.0,0.125,17,124,0
1,2,17,7,2,0.4375,1,1.0,0.6614378277661477,29.333333333333332,0.125,0.25,2,135,0
5,7,18,5,3,1.109375,1,1.0,1.0532687216470449,10.875,0.0,0.875,37,97,0
6,8,18,6,4,2.0,1,1.0,1.4142135623730951,9.88888888888889,0.0,1.0,32,102,0
2,1,18,8,1,0.109375,0,0.499999750000125,0.33071891388307384,44.5,0.0,0.125,13,130,0
7,4,19,5,2,0.5,0,0.57142848979593,0.7071067811865476,17.2,0.0,0.5,39,98,0
1,0,15,8,0,0.0,0,0.0,0.0,78.0,0.0,0.0,13,138,0
8,1,19,6,1,0.109375,0,0.12499998437500197,0.33071891388307384,40.0,0.0,0.125,42,108,0
4,4,18,6,2,0.5,1,0.9999997500000625,0.7071067811865476,16.0,0.0,0.5,35,118,0
1,0,19,8,0,0.0,0,0.0,0.0,92.0,0.0,0.0,5,148,0
1,2,16,7,2,0.4375,1,1.0,0.6614378277661477,27.0,0.125,0.25,10,143,0
3,0,17,7,0,0.0,0,0.0,0.0,77.0,0.0,0.0,32,117,0
3,5,16,7,3,1.234375,1,1.0,1.1110243021644486,12.333333333333334,0.125,0.625,28,128,0
7,8,16,7,4,2.0,1,1.0,1.4142135623730951,7.333333333333333,0.0,1.0,32,121,0
4,1,16,8,1,0.109375,0,0.24999993750001562,0.33071891388307384,33.5,0.0,0.125,32,124,0
5,2,16,7,2,0.4375,0,0.399999920000016,0.6614378277661477,27.666666666666668,0.0,0.25,25,135,0
2,0,16,8,0,0.0,0,0.0,0.0,80.0,0.0,0.0,17,144,0
2,0,17,8,0,0.0,0,0.0,0.0,82.0,0.0,0.0,17,145,0
8,1,17,8,1,0.109375,0,0.12499998437500197,0.33071891388307384,35.5,0.0,0.125,35,124,0
4,8,20,6,3,1.25,1,1.0,1.118033988749895,10.777777777777779,0.0,1.0,19,150,0
4,14,16,5,4,1.9375,1,1.0,1.3919410907075054,5.6,0.125,1.75,25,137,0
8,1,17,8,1,0.109375,0,0.12499998437500197,0.33071891388307384,40.5,0.0,0.125,40,130,0
4,0,14,8,0,0.0,0,0.0,0.0,74.0,0.0,0.0,26,138,0
8,1,16,8,1,0.109375,0,0.12499998437500197,0.33071891388307384,36.5,0.0,0.125,36,129,0
4,2,15,7,2,0.4375,0,0.49999987500003124,0.6614378277661477,25.666666666666668,0.0,0.25,22,143,0
8,1,17,8,1,0.109375,0,0.12499998437500197,0.33071891388307384,43.0,0.0,0.125,43,132,0
8,0,18,8,0,0.0,0,0.0,0.0,84.0,0.0,0.0,31,146,0
7,3,20,7,1,0.234375,0,0.4285713673469475,0.4841229182759271,23.25,0.0,0.375,29,149,0
2,32,0,0,4,0.0,1,1.0,0.0,0.0,1.0,4.0,0,0,1
2,30,0,1,4,0.4375,1,1.0,0.6614378277661477,0.0,1.0,3.75,0,1,1
2,30,1,1,4,0.4375,1,1.0,0.6614378277661477,0.06451612903225806,1.0,3.75,0,1,1
1,9,0,6,4,2.859375,1,1.0,1.6909686573085854,0.0,0.375,1.125,0,6,1
6,15,0,5,4,3.609375,1,1.0,1.899835519196333,0.0,0.0,1.875,0,5,1
2,9,1,6,4,2.859375,1,1.0,1.6909686573085854,0.1,0.25,1.125,0,6,1
5,8,0,7,4,2.0,1,1.0,1.4142135623730951,0.0,0.0,1.0,0,9,1
3,18,0,4,4,3.4375,1,1.0,1.8540496217739157,0.0,0.5,2.25,0,3,1
8,26,0,3,4,1.9375,1,1.0,1.3919410907075054,0.0,0.0,3.25,0,2,1
7,3,0,8,3,0.984375,0,0.4285713673469475,0.9921567416492215,0.0,0.0,0.375,6,10,1
2,3,1,8,3,0.984375,1,1.0,0.9921567416492215,1.75,0.125,0.375,0,11,1
1,7,2,6,3,1.609375,1,1.0,1.2686114456365274,1.375,0.375,0.875,2,16,1
5,2,0,7,1,0.1875,0,0.399999920000016,0.4330127018922193,0.0,0.0,0.25,1,19,1
1,15,2,5,4,1.859375,1,1.0,1.3635890143294642,0.75,0.75,1.875,0,22,1
5,1,1,9,1,0.109375,0,0.199999960000008,0.33071891388307384,3.5,0.0,0.125,2,12,1
8,2,1,7,1,0.1875,0,0.24999996875000394,0.4330127018922193,1.6666666666666667,0.0,0.25,3,19,1
4,0,1,7,0,0.0,0,0.0,0.0,8.0,0.0,0.0,1,21,1
4,3,2,8,2,0.484375,0,0.7499998125000469,0.6959705453537527,3.0,0.0,0.375,5,13,1
4,15,3,5,4,1.859375,1,1.0,1.3635890143294642,0.8125,0.125,1.875,2,22,1
2,6,2,6,2,0.6875,1,1.0,0.82915619758885,1.5714285714285714,0.25,0.75,0,28,1
2,7,6,6,2,0.859375,1,1.0,0.9270248108869579,4.625,0.375,0.875,3,32,1
8,5,2,6,3,0.984375,0,0.6249999218750099,0.9921567416492215,1.1666666666666667,0.0,0.625,6,24,1
6,2,2,7,1,0.1875,0,0.33333327777778704,0.4330127018922193,3.3333333333333335,0.0,0.25,1,29,1
1,7,7,6,2,0.859375,1,1.0,0.9270248108869579,4.875,0.5,0.875,0,32,1
3,5,1,6,3,0.984375,1,1.0,0.9921567416492215,0.6666666666666666,0.125,0.625,4,24,1
2,6,3,6,2,0.6875,1,1.0,0.82915619758885,1.8571428571428572,0.25,0.75,1,28,1
6,2,3,7,1,0.1875,0,0.33333327777778704,0.4330127018922193,5.333333333333333,0.0,0.25,3,29,1
2,7,5,6,2,0.859375,1,1.0,0.9270248108869579,4.375,0.375,0.875,3,32,1
1,0,6,9,0,0.0,0,0.0,0.0,34.0,0.0,0.0,5,39,1
7,3,2,7,2,0.484375,0,0.4285713673469475,0.6959705453537527,3.5,0.0,0.375,14,31,1
1,15,7,7,4,2.109375,1,1.0,1.4523687548277813,2.9375,0.75,1.875,2,45,1
8,17,3,5,4,2.109375,1,1.0,1.4523687548277813,1.1111111111111112,0.0,2.125,15,30,1
1,1,6,8,1,0.109375,1,0.9999990000010001,0.33071891388307384,16.5,0.125,0.125,1,47,1
2,1,7,8,1,0.109375,0,0.499999750000125,0.33071891388307384,17.0,0.0,0.125,3,47,1
7,3,3,7,2,0.484375,0,0.4285713673469475,0.6959705453537527,5.25,0.0,0.375,17,31,1
2,0,6,8,0,0.0,0,0.0,0.0,33.0,0.0,0.0,8,34,1
3,0,5,9,0,0.0,0,0.0,0.0,31.0,0.0,0.0,11,37,1
7,0,7,9,0,0.0,0,0.0,0.0,35.0,0.0,0.0,19,39,1
1,2,6,8,1,0.1875,1,1.0,0.4330127018922193,10.0,0.25,0.25,2,50,1
7,7,4,6,2,0.859375,1,0.9999998571428775,0.9270248108869579,3.5,0.0,0.875,22,32,1
3,1,8,8,1,0.109375,0,0.33333322222225925,0.33071891388307384,18.0,0.0,0.125,11,47,1
3,7,10,8,2,0.859375,1,1.0,0.9270248108869579,7.875,0.0,0.875,10,54,1
1,1,13,8,1,0.109375,1,0.9999990000010001,0.33071891388307384,37.5,0.125,0.125,0,57,1
4,0,6,9,0,0.0,0,0.0,0.0,29.0,0.0,0.0,13,51,1
8,0,7,9,0,0.0,0,0.0,0.0,40.0,0.0,0.0,16,43,1
7,1,7,8,1,0.109375,0,0.1428571224489825,0.33071891388307384,16.5,0.0,0.125,15,52,1
3,1,9,8,1,0.109375,0,0.33333322222225925,0.33071891388307384,19.5,0.0,0.125,17,47,1
3,1,12,8,1,0.109375,0,0.33333322222225925,0.33071891388307384,36.0,0.0,0.125,9,56,1
2,3,8,7,2,0.484375,1,1.0,0.6959705453537527,12.75,0.125,0.375,4,65,1
3,0,8,8,0,0.0,0,0.0,0.0,50.0,0.0,0.0,10,66,1
8,1,8,8,1,0.109375,0,0.12499998437500197,0.33071891388307384,20.0,0.0,0.125,26,52,1
4,2,10,7,1,0.1875,0,0.49999987500003124,0.4330127018922193,19.0,0.0,0.25,12,62,1
1,0,10,8,0,0.0,0,0.0,0.0,66.0,0.0,0.0,1,75,1
3,1,11,8,1,0.109375,0,0.33333322222225925,0.33071891388307384,39.0,0.0,0.125,2,77,1
1,3,14,7,2,0.484375,1,1.0,0.6959705453537527,21.25,0.25,0.375,0,84,1
5,0,9,8,0,0.0,0,0.0,0.0,61.0,0.0,0.0,11,75,1
8,0,9,9,0,0.0,0,0.0,0.0,55.0,0.0,0.0,32,53,1
8,1,9,8,1,0.109375,0,0.12499998437500197,0.33071891388307384,24.0,0.0,0.125,26,52,1
5,16,12,6,4,1.75,1,1.0,1.3228756555322954,4.764705882352941,0.0,2.0,15,78,1
2,0,12,8,0,0.0,0,0.0,0.0,75.0,0.0,0.0,1,83,1
5,0,9,8,0,0.0,0,0.0,0.0,53.0,0.0,0.0,19,66,1
4,3,11,7,2,0.484375,0,0.7499998125000469,0.6959705453537527,17.5,0.0,0.375,12,79,1
4,0,11,8,0,0.0,0,0.0,0.0,71.0,0.0,0.0,20,81,1
6,1,11,8,1,0.109375,0,0.16666663888889352,0.33071891388307384,33.0,0.0,0.125,40,56,1
7,1,10,8,1,0.109375,0,0.1428571224489825,0.33071891388307384,29.5,0.0,0.125,39,55,1
8,0,9,8,0,0.0,0,0.0,0.0,51.0,0.0,0.0,34,68,1
3,3,12,6,2,0.484375,1,0.9999996666667778,0.6959705453537527,22.0,0.0,0.375,0,100,1
6,13,14,6,4,2.234375,1,1.0,1.4947825928876748,6.5,0.0,1.625,22,85,1
8,1,9,8,1,0.109375,0,0.12499998437500197,0.33071891388307384,28.5,0.0,0.125,33,73,1
6,5,12,6,2,0.734375,0,0.8333331944444675,0.8569568250501305,14.666666666666666,0.0,0.625,14,101,1
7,1,10,8,1,0.109375,0,0.1428571224489825,0.33071891388307384,35.5,0.0,0.125,34,77,1
8,5,11,6,3,0.984375,0,0.6249999218750099,0.9921567416492215,11.166666666666666,0.0,0.625,35,76,1
2,8,11,4,2,0.5,1,1.0,0.7071067811865476,9.11111111111111,0.25,1.0,6,106,1
5,6,11,4,4,1.6875,1,1.0,1.299038105676658,10.857142857142858,0.0,0.75,14,107,1
8,3,13,7,2,0.484375,0,0.3749999531250059,0.6959705453537527,19.25,0.0,0.375,36,84,1
1,3,11,4,2,0.484375,1,1.0,0.6959705453537527,15.75,0.25,0.375,9,112,1
7,9,10,5,4,1.609375,1,1.0,1.2686114456365274,7.1,0.0,1.125,27,96,1
1,15,11,3,4,1.359375,1,1.0,1.165922381636102,4.6875,0.875,1.875,1,111,1
1,0,13,6,0,0.0,0,0.0,0.0,78.0,0.0,0.0,10,118,1
1,0,13,7,0,0.0,0,0.0,0.0,77.0,0.0,0.0,4,124,1
2,15,12,3,4,1.359375,1,1.0,1.165922381636102,4.75,0.625,1.875,17,111,1
1,7,15,5,4,1.609375,1,1.0,1.2686114456365274,10.5,0.5,0.875,4,128,1
8,3,15,7,2,0.484375,0,0.3749999531250059,0.6959705453537527,21.5,0.0,0.375,43,84,1
2,1,10,7,1,0.109375,0,0.499999750000125,0.33071891388307384,34.0,0.0,0.125,4,133,1
3,0,12,6,0,0.0,0,0.0,0.0,75.0,0.0,0.0,10,118,1
8,0,12,7,0,0.0,0,0.0,0.0,79.0,0.0,0.0,43,87,1
8,9,11,5,4,1.609375,1,1.0,1.2686114456365274,7.8,0.0,1.125,35,96,1
5,0,11,7,0,0.0,0,0.0,0.0,65.0,0.0,0.0,21,122,1
8,0,9,6,0,0.0,0,0.0,0.0,55.0,0.0,0.0,33,116,1
8,3,11,6,2,0.484375,0,0.3749999531250059,0.6959705453537527,20.0,0.0,0.375,44,99,1
6,0,11,6,0,0.0,0,0.0,0.0,69.0,0.0,0.0,32,118,1
1,13,16,3,4,2.234375,1,1.0,1.4947825928876748,7.714285714285714,0.625,1.625,0,150,1
6,7,12,6,3,1.109375,1,1.0,1.0532687216470449,8.75,0.0,0.875,31,123,1
3,3,15,4,3,0.984375,1,0.9999996666667778,0.9921567416492215,25.75,0.125,0.375,0,147,1
6,0,10,6,0,0.0,0,0.0,0.0,63.0,0.0,0.0,34,116,1
8,7,13,6,3,1.109375,0,0.8749998906250137,1.0532687216470449,9.5,0.0,0.875,35,123,1
7,8,15,6,3,1.25,1,1.0,1.118033988749895,9.444444444444445,0.0,1.0,36,127,1
7,0,14,7,0,0.0,0,0.0,0.0,78.0,0.0,0.0,33,125,1
4,13,18,3,4,2.234375,1,1.0,1.4947825928876748,8.285714285714286,0.125,1.625,14,150,1
6,3,14,5,1,0.234375,0,0.49999991666668053,0.4841229182759271,24.25,0.0,0.375,25,142,1
7,8,11,7,3,1.25,1,1.0,1.118033988749895,7.777777777777778,0.0,1.0,41,131,1
7,2,11,6,1,0.1875,0,0.285714244897965,0.4330127018922193,23.333333333333332,0.0,0.25,36,137,1
7,3,12,5,1,0.234375,0,0.4285713673469475,0.4841229182759271,20.5,0.0,0.375,37,140,1
7,2,11,6,1,0.1875,0,0.285714244897965,0.4330127018922193,25.0,0.0,0.25,37,139,1
8,13,15,3,3,0.984375,1,1.0,0.9921567416492215,7.357142857142857,0.0,1.625,49,143,1
5,3,14,4,3,0.984375,0,0.599999880000024,0.9921567416492215,24.5,0.0,0.375,48,146,1
8,3,13,5,1,0.234375,0,0.3749999531250059,0.4841229182759271,22.25,0.0,0.375,48,140,1
7,3,16,4,3,0.984375,0,0.4285713673469475,0.9921567416492215,26.5,0.0,0.375,49,147,1
6,0,16,5,0,0.0,0,0.0,0.0,110.0,0.0,0.0,52,148,1
7,13,17,3,4,2.234375,1,1.0,1.4947825928876748,7.785714285714286,0.0,1.625,52,150,1
4,21,0,3,4,3.234375,1,1.0,1.79843682124227,0.0,0.625,2.625,0,2,2
5,32,0,0,4,0.0,1,1.0,0.0,0.0,0.0,4.0,0,1,2
1,9,1,6,4,2.109375,1,1.0,1.4523687548277813,0.4,0.5,1.125,0,7,2
4,32,2,0,4,0.0,1,1.0,0.0,0.21212121212121213,1.0,4.0,0,1,2
1,9,0,5,4,2.859375,1,1.0,1.6909686573085854,0.0,0.375,1.125,0,4,2
3,9,1,5,4,2.859375,1,1.0,1.6909686573085854,0.1,0.25,1.125,0,4,2
4,9,0,6,4,2.109375,1,1.0,1.4523687548277813,0.0,0.125,1.125,0,7,2
2,32,1,0,4,0.0,1,1.0,0.0,0.15151515151515152,1.0,4.0,0,1,2
8,17,0,4,4,3.609375,1,1.0,1.899835519196333,0.0,0.0,2.125,0,3,2
6,9,0,7,4,2.859375,1,1.0,1.6909686573085854,0.0,0.0,1.125,0,8,2
5,3,3,8,3,0.984375,0,0.599999880000024,0.9921567416492215,4.5,0.0,0.375,4,11,2
7,3,2,8,3,0.984375,0,0.4285713673469475,0.9921567416492215,2.75,0.0,0.375,9,11,2
7,3,1,8,3,0.984375,0,0.4285713673469475,0.9921567416492215,1.0,0.0,0.375,5,10,2
4,12,4,4,4,2.25,1,1.0,1.5,1.5384615384615385,0.125,1.5,10,15,2
4,9,1,7,4,2.859375,1,1.0,1.6909686573085854,0.6,0.25,1.125,4,8,2
1,0,3,8,0,0.0,0,0.0,0.0,19.0,0.0,0.0,5,13,2
4,0,5,7,0,0.0,0,0.0,0.0,32.0,0.0,0.0,4,28,2
5,2,7,6,2,0.4375,0,0.399999920000016,0.6614378277661477,13.666666666666666,0.0,0.25,6,24,2
5,2,6,5,2,0.4375,0,0.399999920000016,0.6614378277661477,9.666666666666666,0.0,0.25,8,18,2
6,2,5,5,2,0.4375,0,0.33333327777778704,0.6614378277661477,7.666666666666667,0.0,0.25,12,18,2
6,0,3,6,0,0.0,0,0.0,0.0,12.0,0.0,0.0,9,16,2
5,0,4,6,0,0.0,0,0.0,0.0,18.0,0.0,0.0,10,16,2
4,0,7,7,0,0.0,0,0.0,0.0,40.0,0.0,0.0,14,29,2
7,2,5,6,2,0.4375,0,0.285714244897965,0.6614378277661477,8.666666666666666,0.0,0.25,23,21,2
2,0,13,7,0,0.0,0,0.0,0.0,59.0,0.0,0.0,4,40,2
1,1,11,6,1,0.109375,1,0.9999990000010001,0.33071891388307384,26.0,0.125,0.125,0,35,2
3,1,7,6,1,0.109375,0,0.33333322222225925,0.33071891388307384,17.0,0.0,0.125,15,33,2
4,0,6,7,0,0.0,0,0.0,0.0,36.0,0.0,0.0,10,28,2
3,0,7,7,0,0.0,0,0.0,0.0,35.0,0.0,0.0,15,31,2
1,0,11,7,0,0.0,0,0.0,0.0,52.0,0.0,0.0,6,37,2
6,0,4,7,0,0.0,0,0.0,0.0,26.0,0.0,0.0,17,28,2
2,11,8,5,4,2.734375,1,1.0,1.653594569415369,3.6666666666666665,0.375,1.375,14,30,2
2,0,14,7,0,0.0,0,0.0,0.0,61.0,0.0,0.0,5,41,2
2,0,16,7,0,0.0,0,0.0,0.0,71.0,0.0,0.0,9,42,2
4,4,9,9,3,1.0,1,0.9999997500000625,1.0,9.2,0.0,0.5,8,48,2
3,1,9,6,1,0.109375,0,0.33333322222225925,0.33071891388307384,20.5,0.0,0.125,23,33,2
8,2,6,6,2,0.4375,0,0.24999996875000394,0.6614378277661477,11.0,0.0,0.25,25,24,2
4,1,8,6,1,0.109375,0,0.24999993750001562,0.33071891388307384,18.5,0.0,0.125,22,33,2
5,4,12,6,3,1.0,0,0.799999840000032,1.0,10.6,0.0,0.5,22,38,2
8,1,10,6,1,0.109375,0,0.12499998437500197,0.33071891388307384,22.0,0.0,0.125,26,35,2
2,11,6,4,4,1.734375,1,1.0,1.3169567191065923,3.0,0.5,1.375,0,69,2
4,7,6,7,3,0.859375,1,1.0,0.9270248108869579,4.125,0.0,0.875,9,56,2
4,0,5,6,0,0.0,0,0.0,0.0,32.0,0.0,0.0,5,66,2
4,0,5,6,0,0.0,0,0.0,0.0,32.0,0.0,0.0,6,63,2
5,0,12,7,0,0.0,0,0.0,0.0,54.0,0.0,0.0,29,40,2
3,11,5,5,4,2.484375,1,1.0,1.5761900266148114,3.0,0.375,1.375,0,74,2
8,0,15,7,0,0.0,0,0.0,0.0,63.0,0.0,0.0,33,41,2
8,0,5,9,0,0.0,0,0.0,0.0,30.0,0.0,0.0,20,57,2
4,4,5,6,3,1.0,1,0.9999997500000625,1.0,7.0,0.0,0.5,2,71,2
1,0,6,6,0,0.0,0,0.0,0.0,36.0,0.0,0.0,1,79,2
1,0,5,6,0,0.0,0,0.0,0.0,35.0,0.0,0.0,2,78,2
2,4,8,5,2,0.5,1,1.0,0.7071067811865476,8.8,0.125,0.5,0,80,2
3,3,8,8,2,0.484375,1,0.9999996666667778,0.6959705453537527,13.5,0.0,0.375,0,89,2
2,1,8,8,1,0.109375,0,0.499999750000125,0.33071891388307384,27.0,0.0,0.125,2,91,2
8,4,4,6,3,1.0,0,0.4999999375000079,1.0,5.4,0.0,0.5,16,71,2
7,0,6,9,0,0.0,0,0.0,0.0,38.0,0.0,0.0,29,57,2
1,4,8,7,2,0.5,1,1.0,0.7071067811865476,10.8,0.375,0.5,0,88,2
5,0,6,8,0,0.0,0,0.0,0.0,42.0,0.0,0.0,14,81,2
4,0,10,8,0,0.0,0,0.0,0.0,67.0,0.0,0.0,2,85,2
5,0,5,7,0,0.0,0,0.0,0.0,35.0,0.0,0.0,15,72,2
1,10,9,5,4,2.9375,1,1.0,1.713913650100261,5.181818181818182,0.375,1.25,0,100,2
8,8,5,5,3,1.5,1,0.9999998750000157,1.224744871391589,3.888888888888889,0.0,1.0,27,77,2
7,0,7,6,0,0.0,0,0.0,0.0,37.0,0.0,0.0,25,79,2
7,4,4,6,3,1.0,0,0.57142848979593,1.0,5.6,0.0,0.5,24,76,2
2,15,12,4,4,2.109375,1,1.0,1.4523687548277813,4.3125,0.625,1.875,3,104,2
4,5,8,6,4,1.734375,1,1.0,1.3169567191065923,9.0,0.125,0.625,10,95,2
4,0,8,7,0,0.0,0,0.0,0.0,53.0,0.0,0.0,9,97,2
