job_gpu,total_free,queue_length,running_jobs,max_free_node,variance_free,smaller_jobs_in_queue,demand_ratio,wait_time
8,2,7,6,2,0.4375,7,2.6666666666666665,32
1,2,19,5,2,0.4375,0,0.3333333333333333,0
4,0,15,9,0,0.0,2,4.0,25
7,2,8,6,2,0.4375,5,2.3333333333333335,38
1,2,19,6,1,0.1875,0,0.3333333333333333,0
6,1,13,8,1,0.109375,5,3.0,39
2,2,18,6,1,0.1875,0,0.6666666666666666,0
4,8,16,5,3,1.0,2,0.4444444444444444,21
8,0,9,7,0,0.0,9,8.0,44
1,6,19,5,4,1.6875,0,0.14285714285714285,0
8,8,11,6,4,1.75,11,0.8888888888888888,53
4,2,18,5,2,0.4375,2,1.3333333333333333,23
8,1,14,8,1,0.109375,14,4.0,59
5,1,15,6,1,0.109375,4,2.5,33
1,6,20,5,4,1.6875,1,0.14285714285714285,2
3,4,18,6,2,0.5,0,0.6,7
7,0,14,9,0,0.0,8,7.0,58
5,5,18,5,2,0.734375,5,0.8333333333333334,46
1,2,20,6,1,0.1875,1,0.3333333333333333,0
2,1,19,8,1,0.109375,0,1.0,3
8,6,17,8,3,1.1875,17,1.1428571428571428,61
7,6,16,8,3,1.1875,10,1.0,58
3,4,19,6,2,0.5,1,0.6,23
1,5,20,7,2,0.734375,0,0.16666666666666666,1
2,1,18,8,1,0.109375,0,1.0,5
3,0,20,9,0,0.0,2,3.0,5
7,1,15,7,1,0.109375,9,3.5,63
6,1,17,7,1,0.109375,3,3.0,26
1,0,19,9,0,0.0,0,1.0,3
3,10,22,6,4,1.6875,4,0.2727272727272727,8
2,0,21,9,0,0.0,1,2.0,3
7,1,16,6,1,0.109375,11,3.5,59
3,0,18,9,0,0.0,2,3.0,11
7,1,17,6,1,0.109375,12,3.5,66
5,8,19,5,4,1.75,4,0.5555555555555556,36
1,1,16,8,1,0.109375,0,0.5,0
4,0,19,7,0,0.0,3,4.0,33
3,0,19,9,0,0.0,3,3.0,14
1,10,20,7,3,1.1875,1,0.09090909090909091,6
1,3,20,7,2,0.484375,1,0.25,11
2,0,21,9,0,0.0,2,2.0,5
8,3,18,5,2,0.484375,18,2.0,66
5,8,18,7,4,1.75,4,0.5555555555555556,35
7,5,19,5,3,0.984375,12,1.1666666666666667,62
1,0,16,9,0,0.0,0,1.0,2
3,0,15,9,0,0.0,0,3.0,5
4,6,22,7,4,1.6875,5,0.5714285714285714,36
7,4,19,7,2,0.5,12,1.4,44
1,0,16,9,0,0.0,0,1.0,3
8,0,17,6,0,0.0,17,8.0,76
1,13,21,5,4,2.234375,1,0.07142857142857142,6
8,0,18,6,0,0.0,18,8.0,86
1,3,19,6,1,0.234375,0,0.25,2
6,5,21,7,2,0.734375,8,1.0,45
7,0,19,9,0,0.0,12,7.0,40
8,5,19,7,2,0.734375,19,1.3333333333333333,58
1,13,22,5,4,2.234375,2,0.07142857142857142,13
8,5,20,5,3,0.984375,20,1.3333333333333333,87
8,1,16,7,1,0.109375,16,4.0,79
2,0,16,8,0,0.0,1,2.0,27
4,0,20,9,0,0.0,6,4.0,46
8,8,21,7,4,2.0,21,0.8888888888888888,66
7,0,22,9,0,0.0,15,7.0,53
3,0,17,8,0,0.0,3,3.0,40
2,0,22,8,0,0.0,3,2.0,26
6,7,16,8,4,1.859375,5,0.75,52
4,0,17,8,0,0.0,5,4.0,48
8,6,19,8,4,1.6875,19,1.1428571428571428,52
5,3,16,8,2,0.484375,4,1.25,53
4,7,23,7,4,1.859375,7,0.5,39
8,3,20,6,1,0.234375,20,2.0,52
6,0,20,7,0,0.0,10,6.0,53
6,0,18,8,0,0.0,9,6.0,52
6,0,21,8,0,0.0,12,6.0,50
6,0,20,8,0,0.0,11,6.0,52
8,0,23,9,0,0.0,23,8.0,54
7,0,22,9,0,0.0,15,7.0,53
3,32,0,0,4,0.0,0,0.09090909090909091,0
7,29,2,1,4,0.984375,2,0.23333333333333334,0
7,29,1,1,4,0.984375,1,0.23333333333333334,0
6,15,0,4,4,3.109375,0,0.375,0
2,17,0,3,4,3.109375,0,0.1111111111111111,0
4,9,0,5,4,2.859375,0,0.4,0
4,9,1,5,4,2.859375,1,0.4,0
1,29,0,1,4,0.984375,0,0.03333333333333333,0
5,9,2,5,4,2.859375,2,0.5,3
3,1,7,8,1,0.109375,0,1.5,7
6,1,5,7,1,0.109375,5,3.0,15
2,1,3,7,1,0.109375,0,1.0,2
5,9,4,5,4,2.859375,3,0.5,11
4,1,4,7,1,0.109375,1,2.0,13
3,4,8,8,3,1.0,0,0.6,2
2,1,8,8,1,0.109375,0,1.0,2
1,0,10,9,0,0.0,0,1.0,1
8,1,5,8,1,0.109375,5,4.0,19
6,9,3,5,4,2.859375,3,0.6,10
7,1,6,8,1,0.109375,5,3.5,19
5,8,6,6,4,1.75,4,0.5555555555555556,19
1,4,10,8,3,1.0,0,0.2,0
7,1,7,9,1,0.109375,6,3.5,17
7,6,7,8,3,1.1875,6,1.0,17
2,4,9,8,3,1.0,0,0.4,8
1,0,8,8,0,0.0,0,1.0,1
5,6,9,8,4,1.6875,2,0.7142857142857143,17
6,3,8,8,2,0.484375,4,1.5,17
8,4,10,8,3,1.0,10,1.6,18
3,0,7,7,0,0.0,0,3.0,1
1,1,8,7,1,0.109375,0,0.5,0
6,7,7,7,4,1.859375,2,0.75,14
3,0,7,7,0,0.0,0,3.0,14
1,1,14,6,1,0.109375,0,0.5,0
8,0,9,9,0,0.0,9,8.0,29
3,1,11,6,1,0.109375,0,1.5,7
6,0,7,8,0,0.0,3,6.0,23
3,2,12,7,2,0.4375,1,1.0,4
5,3,9,6,1,0.234375,2,1.25,22
6,10,9,6,4,1.9375,5,0.5454545454545454,27
4,1,9,7,1,0.109375,2,2.0,29
4,0,9,8,0,0.0,2,4.0,28
5,1,7,7,1,0.109375,2,2.5,27
7,8,7,6,3,1.5,5,0.7777777777777778,33
6,0,8,7,0,0.0,6,6.0,34
1,2,16,7,2,0.4375,0,0.3333333333333333,0
3,5,14,5,3,0.984375,0,0.5,1
5,0,8,7,0,0.0,5,5.0,28
1,3,13,6,3,0.984375,0,0.25,0
5,2,11,7,2,0.4375,6,1.6666666666666667,32
6,1,9,6,1,0.109375,8,3.0,29
4,2,10,7,2,0.4375,3,1.3333333333333333,33
5,1,10,6,1,0.109375,6,2.5,30
2,5,15,7,3,0.984375,0,0.3333333333333333,3
1,1,17,8,1,0.109375,0,0.5,0
5,1,12,6,1,0.109375,8,2.5,34
1,1,19,8,1,0.109375,2,0.5,4
3,0,16,8,0,0.0,1,3.0,6
1,3,17,8,2,0.484375,0,0.25,4
4,1,13,6,1,0.109375,4,2.0,37
7,1,13,6,1,0.109375,13,3.5,40
5,11,14,4,4,2.734375,9,0.4166666666666667,28
1,0,18,9,0,0.0,1,1.0,2
1,0,21,10,0,0.0,0,1.0,3
4,2,17,7,2,0.4375,4,1.3333333333333333,27
4,0,14,7,0,0.0,5,4.0,36
6,11,12,4,4,2.734375,11,0.5,37
8,11,13,4,4,2.734375,13,0.6666666666666666,37
6,3,15,6,3,0.984375,13,1.5,43
2,0,17,10,0,0.0,1,2.0,12
2,12,20,8,4,2.0,1,0.15384615384615385,14
3,0,18,10,0,0.0,2,3.0,20
8,3,14,6,3,0.984375,14,2.0,41
4,0,15,8,0,0.0,4,4.0,31
7,2,14,7,2,0.4375,12,2.3333333333333335,41
4,5,18,8,3,0.984375,5,0.6666666666666666,30
3,0,19,10,0,0.0,3,3.0,26
6,0,16,9,0,0.0,9,6.0,32
7,2,15,7,2,0.4375,13,2.3333333333333335,52
4,1,23,7,1,0.109375,6,2.0,23
1,0,23,6,0,0.0,0,1.0,6
4,0,20,10,0,0.0,7,4.0,29
7,7,17,7,4,1.859375,15,0.875,49
3,2,26,6,1,0.1875,3,1.0,23
6,6,19,9,4,1.9375,11,0.8571428571428571,40
7,7,17,7,3,1.109375,15,0.875,53
3,4,21,5,2,0.5,2,0.6,20
1,0,25,6,0,0.0,1,1.0,14
5,6,20,9,4,1.9375,8,0.7142857142857143,48
5,0,22,6,0,0.0,6,5.0,36
7,3,18,8,2,0.484375,16,1.75,64
2,4,25,6,2,0.5,2,0.4,22
2,7,23,6,4,2.359375,3,0.25,22
6,6,21,9,4,1.9375,13,0.8571428571428571,58
6,6,22,8,3,0.9375,15,0.8571428571428571,52
1,8,25,5,4,3.0,2,0.1111111111111111,26
4,0,23,7,0,0.0,6,4.0,24
8,1,24,8,1,0.109375,24,4.0,63
3,0,23,7,0,0.0,5,3.0,25
7,6,24,8,3,0.9375,21,1.0,64
8,6,23,8,3,0.9375,23,1.1428571428571428,59
6,1,25,8,1,0.109375,15,3.0,68
7,4,25,7,2,0.5,21,1.4,68
6,0,22,8,0,0.0,12,6.0,68
7,1,24,7,1,0.109375,21,3.5,71
6,0,24,7,0,0.0,13,6.0,52
8,1,25,7,1,0.109375,25,4.0,79
7,0,24,6,0,0.0,21,7.0,72
7,4,22,5,2,0.5,19,1.4,74
8,6,23,6,3,0.9375,23,1.1428571428571428,60
5,28,1,1,4,1.75,1,0.1724137931034483,0
3,22,0,3,4,2.9375,0,0.13043478260869565,0
1,28,0,1,4,1.75,0,0.034482758620689655,0
4,19,0,4,4,3.484375,0,0.2,0
3,5,0,7,4,1.734375,0,0.5,0
4,32,0,0,4,0.0,0,0.12121212121212122,0
6,19,1,4,4,3.484375,1,0.3,0
2,7,0,7,3,1.359375,0,0.25,0
1,5,0,8,2,0.734375,0,0.16666666666666666,0
3,5,1,8,2,0.734375,1,0.5,0
4,19,2,4,4,3.484375,1,0.2,0
4,3,2,9,1,0.234375,0,1.0,1
7,3,1,9,1,0.234375,1,1.75,4
1,9,1,7,4,1.609375,0,0.1,0
5,9,0,7,4,1.609375,0,0.5,0
1,1,5,7,1,0.109375,0,0.5,0
2,3,5,7,2,0.484375,0,0.5,1
7,3,0,9,1,0.234375,0,1.75,5
8,2,3,9,2,0.4375,3,2.6666666666666665,9
6,1,4,7,1,0.109375,2,3.0,8
5,6,3,8,3,0.9375,1,0.7142857142857143,8
3,1,3,7,1,0.109375,0,1.5,1
7,8,4,7,3,1.75,1,0.7777777777777778,12
8,8,5,6,4,1.5,5,0.8888888888888888,9
8,14,4,6,4,2.1875,4,0.5333333333333333,14
7,0,5,8,0,0.0,3,7.0,16
6,8,5,7,3,1.75,1,0.6666666666666666,14
3,2,6,5,2,0.4375,0,1.0,8
2,0,6,5,0,0.0,1,2.0,7
2,0,8,5,0,0.0,2,2.0,10
2,3,7,4,2,0.484375,0,0.5,10
4,0,6,8,0,0.0,0,4.0,24
7,3,6,5,2,0.484375,4,1.75,21
6,18,7,3,4,1.9375,2,0.3157894736842105,22
5,2,7,5,2,0.4375,2,1.6666666666666667,24
5,2,8,5,2,0.4375,3,1.6666666666666667,24
3,0,14,5,0,0.0,3,3.0,12
2,8,16,4,3,1.25,3,0.2222222222222222,15
6,0,7,5,0,0.0,6,6.0,24
4,0,13,5,0,0.0,4,4.0,19
6,0,9,5,0,0.0,8,6.0,29
1,0,18,7,0,0.0,0,1.0,4
1,0,21,8,0,0.0,1,1.0,6
4,8,14,6,3,1.0,4,0.4444444444444444,25
7,0,11,5,0,0.0,10,7.0,30
5,0,12,5,0,0.0,6,5.0,26
8,0,10,5,0,0.0,10,8.0,32
3,0,14,8,0,0.0,3,3.0,26
1,0,18,8,0,0.0,0,1.0,9
2,0,13,8,0,0.0,1,2.0,27
3,2,20,6,1,0.1875,6,1.0,27
4,0,16,8,0,0.0,6,4.0,32
7,8,17,4,3,1.25,16,0.7777777777777778,42
2,0,18,8,0,0.0,2,2.0,30
3,6,19,7,2,0.4375,5,0.42857142857142855,35
2,0,20,8,0,0.0,3,2.0,19
1,0,18,8,0,0.0,0,1.0,5
7,8,15,4,3,1.25,14,0.7777777777777778,41
3,0,20,7,0,0.0,7,3.0,15
2,0,17,9,0,0.0,0,2.0,2
5,5,16,7,3,0.984375,0,0.8333333333333334,0
7,0,15,8,0,0.0,14,7.0,46
4,0,19,7,0,0.0,9,4.0,37
3,1,16,9,1,0.109375,1,1.5,4
7,0,17,8,0,0.0,16,7.0,50
8,3,18,6,2,0.484375,18,2.0,47
1,5,13,5,2,0.734375,0,0.16666666666666666,0
6,0,19,8,0,0.0,11,6.0,40
4,5,14,5,2,0.734375,1,0.6666666666666666,0
3,11,15,4,3,1.484375,0,0.25,0
7,0,20,8,0,0.0,17,7.0,50
1,11,17,4,4,2.234375,0,0.08333333333333333,3
8,7,19,6,4,2.359375,19,1.0,50
4,2,13,6,2,0.4375,0,1.3333333333333333,1
6,0,21,8,0,0.0,12,6.0,50
2,11,15,4,4,2.234375,0,0.16666666666666666,3
2,1,16,7,1,0.109375,1,1.0,1
1,3,16,7,2,0.484375,0,0.25,0
1,1,15,7,1,0.109375,0,0.5,0
6,0,19,7,0,0.0,11,6.0,52
4,11,16,4,4,2.234375,2,0.3333333333333333,16
7,0,22,8,0,0.0,19,7.0,52
6,6,21,6,3,1.1875,13,0.8571428571428571,50
8,0,19,9,0,0.0,19,8.0,53
6,0,19,8,0,0.0,10,6.0,54
4,0,15,6,0,0.0,3,4.0,23
6,0,21,8,0,0.0,11,6.0,59
7,0,16,9,0,0.0,12,7.0,56
7,0,20,8,0,0.0,17,7.0,57
4,4,16,5,2,0.75,4,0.8,32
8,3,17,8,1,0.234375,17,2.0,59
7,5,16,7,2,0.484375,12,1.1666666666666667,59
6,2,12,6,2,0.4375,5,2.0,38
4,7,18,8,4,1.859375,4,0.5,37
2,3,17,7,2,0.484375,2,0.5,37
5,3,18,7,2,0.484375,6,1.25,37
2,4,18,5,3,1.0,1,0.4,40
8,2,14,6,2,0.4375,14,2.6666666666666665,53
7,1,18,8,1,0.109375,14,3.5,43
3,1,18,5,1,0.109375,3,1.5,42
8,3,19,7,2,0.484375,19,2.0,51
2,1,22,5,1,0.109375,2,1.0,47
3,13,19,6,4,2.234375,1,0.21428571428571427,48
8,1,18,8,1,0.109375,18,4.0,58
8,1,19,5,1,0.109375,19,4.0,56
8,1,22,5,1,0.109375,22,4.0,57
3,1,20,5,1,0.109375,4,1.5,49
7,1,23,5,1,0.109375,17,3.5,54
5,1,23,5,1,0.109375,9,2.5,57
7,1,21,5,1,0.109375,16,3.5,55
8,32,0,0,4,0.0,0,0.24242424242424243,0
6,32,1,0,4,0.0,0,0.18181818181818182,0
8,17,0,3,4,3.609375,0,0.4444444444444444,0
1,18,0,2,4,3.4375,0,0.05263157894736842,0
8,9,0,4,4,2.859375,0,0.8,0
1,1,0,5,1,0.109375,0,0.5,0
1,1,0,7,1,0.109375,0,0.5,0
6,16,1,4,4,2.75,1,0.35294117647058826,0
6,22,0,3,4,2.6875,0,0.2608695652173913,0
4,5,0,6,3,1.234375,0,0.6666666666666666,0
1,0,5,8,0,0.0,0,1.0,3
5,16,0,4,4,2.75,0,0.29411764705882354,0
1,6,0,5,3,1.1875,0,0.14285714285714285,0
7,1,1,7,1,0.109375,1,3.5,7
7,0,3,8,0,0.0,3,7.0,11
5,0,1,8,0,0.0,0,5.0,11
5,0,7,8,0,0.0,4,5.0,9
3,0,2,8,0,0.0,0,3.0,10
2,11,9,5,4,1.734375,0,0.16666666666666666,4
3,0,4,8,0,0.0,1,3.0,10
8,1,6,8,1,0.109375,6,4.0,12
4,1,7,8,1,0.109375,2,2.0,9
1,5,6,5,2,0.484375,0,0.16666666666666666,1
4,0,8,8,0,0.0,2,4.0,8
8,0,6,8,0,0.0,6,8.0,14
5,1,8,8,1,0.109375,5,2.5,15
3,5,5,5,2,0.484375,0,0.5,1
7,8,9,6,3,1.0,7,0.7777777777777778,14
2,0,4,7,0,0.0,0,2.0,1
7,0,4,7,0,0.0,4,7.0,16
6,11,6,4,4,1.734375,3,0.5,15
7,1,7,7,1,0.109375,5,3.5,22
4,2,6,7,2,0.4375,0,1.3333333333333333,7
7,4,5,6,3,1.0,5,1.4,18
5,10,6,6,4,1.6875,2,0.45454545454545453,19
1,7,5,5,4,1.859375,0,0.125,0
8,2,5,7,2,0.4375,5,2.6666666666666665,16
5,3,7,6,2,0.484375,2,1.25,13
3,1,6,7,1,0.109375,0,1.5,1
3,4,5,5,1,0.25,0,0.6,11
5,0,4,7,0,0.0,2,5.0,12
1,8,7,6,4,2.25,0,0.1111111111111111,2
2,3,6,6,3,0.984375,0,0.5,0
1,0,6,8,0,0.0,1,1.0,2
5,6,5,5,3,0.9375,3,0.7142857142857143,8
6,3,5,6,3,0.984375,3,1.5,11
5,2,5,6,1,0.1875,3,1.6666666666666667,13
1,5,3,5,3,0.984375,0,0.16666666666666666,0
7,15,6,4,4,1.359375,5,0.4375,10
4,2,1,7,1,0.1875,0,1.3333333333333333,2
4,2,2,7,1,0.1875,1,1.3333333333333333,2
3,5,5,5,3,0.984375,1,0.5,8
4,6,2,7,2,0.4375,0,0.5714285714285714,2
7,5,5,6,2,0.484375,4,1.1666666666666667,9
7,5,4,5,3,0.984375,3,1.1666666666666667,5
2,0,7,8,0,0.0,0,2.0,1
6,0,5,7,0,0.0,3,6.0,7
3,5,6,5,3,0.984375,2,0.5,8
5,1,5,7,1,0.109375,2,2.5,11
1,0,5,7,0,0.0,0,1.0,4
8,2,4,6,2,0.4375,4,2.6666666666666665,35
3,4,6,6,2,0.5,1,0.6,0
4,0,6,7,0,0.0,3,4.0,7
4,0,6,7,0,0.0,2,4.0,14
3,7,8,6,3,0.859375,1,0.375,10
6,4,7,6,2,0.5,6,1.2,19
1,0,7,8,0,0.0,0,1.0,4
5,7,6,7,2,0.859375,2,0.625,13
3,2,11,7,1,0.1875,2,1.0,5
3,5,10,8,3,0.984375,0,0.5,1
2,1,7,8,1,0.109375,0,1.0,1
7,4,8,6,2,0.5,7,1.4,20
3,4,9,7,2,0.75,1,0.6,1
5,7,7,7,2,0.859375,3,0.625,19
5,0,9,9,0,0.0,3,5.0,16
3,5,11,8,3,0.984375,1,0.5,3
2,3,9,7,2,0.484375,1,0.5,1
1,3,10,7,2,0.484375,0,0.25,0
7,0,9,8,0,0.0,7,7.0,27
8,0,8,8,0,0.0,8,8.0,34
2,0,9,9,0,0.0,0,2.0,2
2,3,8,7,2,0.484375,0,0.5,0
4,4,8,7,1,0.25,0,0.8,0
2,2,14,6,1,0.1875,1,0.6666666666666666,1
8,8,7,7,2,0.5,7,0.8888888888888888,33
6,0,10,9,0,0.0,5,6.0,31
7,0,10,8,0,0.0,8,7.0,35
3,8,14,5,3,1.5,0,0.3333333333333333,3
4,0,10,9,0,0.0,1,4.0,15
2,1,15,6,1,0.109375,0,1.0,2
1,0,18,7,0,0.0,0,1.0,5
5,8,9,7,3,1.0,3,0.5555555555555556,31
7,7,9,8,3,1.109375,4,0.875,22
8,1,8,8,1,0.109375,8,4.0,33
2,4,20,6,1,0.25,1,0.4,4
7,3,12,8,2,0.484375,6,1.75,22
8,0,8,9,0,0.0,8,8.0,41
8,3,10,7,2,0.484375,10,2.0,40
4,3,12,8,2,0.484375,2,1.0,33
6,8,13,6,4,1.75,5,0.6666666666666666,36
8,1,13,6,1,0.109375,13,4.0,38
4,11,12,7,3,1.484375,1,0.3333333333333333,30
8,0,11,9,0,0.0,11,8.0,37
8,2,15,6,1,0.1875,15,2.6666666666666665,41
7,8,15,5,3,1.5,10,0.7777777777777778,44
7,2,16,6,2,0.4375,10,2.3333333333333335,43
7,2,16,6,1,0.1875,10,2.3333333333333335,42
7,0,19,7,0,0.0,11,7.0,52
8,2,17,6,2,0.4375,17,2.6666666666666665,49
8,2,18,6,2,0.4375,18,2.6666666666666665,53
6,20,1,3,4,3.75,0,0.2857142857142857,0
6,29,1,1,4,0.984375,1,0.2,0
1,5,1,7,4,1.734375,0,0.16666666666666666,0
3,32,0,0,4,0.0,0,0.09090909090909091,0
7,20,0,3,4,3.75,0,0.3333333333333333,0
1,6,1,6,4,1.9375,0,0.14285714285714285,0
3,29,0,1,4,0.984375,0,0.1,0
2,7,3,9,4,1.609375,0,0.25,0
7,7,4,9,4,1.609375,2,0.875,1
2,5,2,7,4,1.734375,1,0.3333333333333333,0
1,2,1,9,2,0.4375,0,0.3333333333333333,0
8,6,0,6,4,1.9375,0,1.1428571428571428,11
1,7,0,5,4,2.359375,0,0.125,0
4,5,1,7,3,1.234375,1,0.6666666666666666,1
3,7,0,6,3,1.109375,0,0.375,0
1,1,2,10,1,0.109375,0,0.5,0
4,11,1,7,4,1.484375,0,0.3333333333333333,1
4,2,2,9,2,0.4375,1,1.3333333333333333,5
4,6,1,8,2,0.6875,0,0.5714285714285714,0
8,1,2,10,1,0.109375,2,4.0,8
2,0,1,8,0,0.0,0,2.0,2
7,0,2,8,0,0.0,2,7.0,6
2,2,0,7,2,0.4375,0,0.6666666666666666,0
